geneID,Entry,geneNames,geneName
YMR299C,Q04949,DYN3;YMR299C;YM9952.01C,DYN3
YPR023C,Q12432,EAF3;YPR023C;YP9367.03C,EAF3
YMR171C,Q03212,EAR1;YMR171C;YM8010.01C;YM8520.20C,EAR1
YGR146C,P48235,ECL1;YGR146C;G6626,ECL1
YHR021W-A,O13529,ECM12;YHR021W-A,ECM12
YBR078W,P38248,ECM33;YBR078W;YBR0727,ECM33
YOR092W,Q99252,ECM3;YOR092W;YOR3165W,ECM3
YGR007W,P33412,ECT1;MUQ1;YGR007W;G3856,ECT1
YOR133W,P32324,EFT1;YOR133W;O3317;YOR3317W;;EFT2;YDR385W,EFT1
YDR385W,P32324,EFT1;YOR133W;O3317;YOR3317W;;EFT2;YDR385W,EFT1
YLR249W,P16521,YEF3;EFC1;TEF3;YEF3A;YLR249W;L9672.5,YEF3
YLR069C,P25039,MEF1;YLR069C;L2195,MEF1
YHL039W,P38732,EFM1;YHL039W,EFM1
YNL024C,P53970,EFM6;YNL024C;N2809,EFM6
YLR285W,Q05874,NNT1;EFM7;YLR285W,NNT1
YCR014C,P25615,POL4;POLX;YCR014C;YCR14C,POL4
