,seed_id
s_1106[e],C00208
s_1107[c],C00464
s_1108[er],C00464
s_1109[er],CHEBI:60449
s_1110[m],CHEBI:60449
s_1111[er],CHEBI:60448
s_1112[m],CHEBI:60448
s_1114[g],CHEBI:25168
s_1116[er],CHEBI:60416
s_1117[g],CHEBI:60416
s_1118[m],CHEBI:60416
s_1119[er],CHEBI:62706
s_1120[g],CHEBI:62706
s_1121[m],CHEBI:62706
s_1122[er],CHEBI:60420
s_1123[g],CHEBI:60420
s_1124[m],CHEBI:60420
s_1125[er],CHEBI:62710
s_1126[g],CHEBI:62710
s_1127[m],CHEBI:62710
s_1128[er],CHEBI:60418
s_1129[g],CHEBI:60418
s_1130[m],CHEBI:60418
s_1131[er],CHEBI:62708
s_1132[g],CHEBI:62708
s_1133[m],CHEBI:62708
s_1134[er],CHEBI:60422
s_1135[g],CHEBI:60422
s_1136[m],CHEBI:60422
s_1137[er],CHEBI:62712
s_1138[g],CHEBI:62712
s_1139[m],CHEBI:62712
s_1140[er],CHEBI:60435
s_1141[g],CHEBI:60435
s_1142[m],CHEBI:60435
s_1143[er],CHEBI:62683
s_1144[g],CHEBI:62683
s_1145[m],CHEBI:62683
s_1148[c],C02430
s_1149[m],C02430
s_1150[c],C00409
s_1151[c],C00546
s_1153[c],C00137
s_1154[e],C00137
s_1156[c],C01284
s_1157[n],C01284
s_1158[c],C01204
s_1159[n],C01204
s_1161[c],C06424
s_1163[e],C06424
s_1166[p],C06424
s_1176[c],C02593
s_1179[p],C02593
s_1180[c],C00612
s_1181[c],C02567
s_1182[m],C00437
s_1183[c],C01152
s_1184[c],C04537
s_1185[c],CHEBI:50611
s_1186[e],CHEBI:50611
s_1187[c],C04302
s_1188[c],C04352
s_1189[c],C04501
s_1190[c],C00357
s_1191[m],C04133
s_1192[m],C00624
s_1193[c],C02714
s_1194[c],C00438
s_1195[c],C02700
s_1196[c],CHEBI:50603
s_1198[c],C00003
s_1199[er],C00003
s_1200[m],C00003
s_1201[n],C00003
s_1202[p],C00003
s_1203[c],C00004
s_1204[er],C00004
s_1205[m],C00004
s_1206[p],C00004
s_1207[c],C00006
s_1208[er],C00006
s_1210[m],C00006
s_1211[p],C00006
s_1212[c],C00005
s_1213[er],C00005
s_1214[m],C00005
s_1215[p],C00005
s_1216[c],C00153
s_1217[n],C00153
s_1218[c],C03150
s_1219[c],C00253
s_1220[e],C00253
s_1221[m],C00253
s_1222[c],C01185
s_1223[m],C01185
s_1224[c],C00455
s_1225[e],C00455
s_1227[n],C00455
s_1228[p],C00455
s_1229[lp],CHEBI:53034
s_1230[c],C03885
s_1231[c],C04145
s_1232[lp],C04145
s_1233[c],C01077
s_1234[c],C00979
s_1235[c],C02571
s_1236[m],C02571
s_1237[p],C02571
s_1238[c],C01102
s_1239[c],C00346
s_1240[er],C00346
s_1241[c],C01118
s_1246[lp],CHEBI:53035
s_1248[c],C06423
s_1250[e],C06423
s_1253[p],C06423
s_1254[m],C05752
s_1258[p],C01944
s_1259[lp],C04146
s_1260[c],C00712
s_1262[c],C00510
s_1265[p],C00510
s_1266[c],C01602
s_1267[e],C01602
s_1268[m],C01602
s_1269[c],C00295
s_1270[c],C01103
s_1271[c],C00036
s_1272[e],C00036
s_1273[m],C00036
s_1274[p],C00036
s_1275[c],C00007
s_1276[er],C00007
s_1277[e],C00007
s_1278[m],C00007
s_1279[p],C00007
s_1282[c],C01260
s_1283[c],C01261
s_1284[c],CHEBI:52968
s_1286[c],C00249
s_1288[e],C00249
s_1291[p],C00249
s_1293[c],C08362
s_1295[e],C08362
s_1298[p],C08362
s_1302[c],C00154
s_1303[er],C00154
s_1305[p],C00154
s_1307[c],C01134
s_1308[m],C01134
s_1309[e],C00714
s_1310[lp],CHEBI:53038
s_1311[c],C04217
s_1312[lp],C04217
s_1313[m],C04217
s_1314[c],C03511
s_1315[m],C03511
s_1316[c],C12303
s_1317[e],C12303
s_1318[c],C00601
s_1319[e],C00601
s_1320[m],C00601
s_1321[c],C07086
s_1322[c],C00009
s_1323[er],C00009
s_1324[e],C00009
s_1325[g],C00009
s_1326[m],C00009
s_1329[v],C00009
s_1337[c],C02737
s_1346[c],C00157
s_1351[c],C00350
s_1352[er],C00350
s_1360[c],C00074
s_1361[m],C00074
s_1364[c],C04751
s_1365[c],C04734
s_1366[er],C12144
s_1367[er],CHEBI:46970
s_1368[c],C01063
s_1371[c],C00087
s_1372[c],C00931
s_1373[c],C00238
s_1374[e],C00238
s_1375[c],C02463
s_1376[c],C00235
s_1377[c],C00254
s_1378[c],C01024
s_1379[c],C02702
s_1382[m],C00100
s_1383[m],C02191
s_1384[c],C01079
s_1385[m],C01079
s_1386[c],C00119
s_1387[m],C00119
s_1388[c],C01168
s_1389[c],C00134
s_1390[e],C00134
s_1391[v],C00134
s_1392[c],C00250
s_1393[c],C00018
s_1394[c],C00534
s_1395[c],C00647
s_1396[c],C00314
s_1397[e],C00314
s_1398[c],C00627
s_1399[c],C00022
s_1400[e],C00022
s_1401[m],C00022
s_1403[c],C03722
s_1404[m],C03722
s_1405[c],C00255
s_1406[e],C00255
s_1407[m],C00255
s_1408[c],C03736
s_1409[m],CHEBI:50622
s_1410[m],C01242
s_1411[m],C01169
s_1412[c],C04425
s_1413[c],C00021
s_1415[m],C00021
s_1416[c],C00019
s_1418[e],C00019
s_1419[m],C00019
s_1420[c],C01137
s_1421[c],C01031
s_1422[c],C04188
s_1423[c],C04582
s_1424[c],C03172
s_1425[e],C03172
s_1426[c],C00447
s_1427[c],C05382
s_1429[c],C00493
s_1430[c],C00748
s_1431[c],C05778
s_1432[ce],C00670
s_1433[c],C00670
s_1435[e],C00670
s_1437[c],C01330
s_1438[e],C01330
s_1439[c],C00315
s_1440[e],C00315
s_1441[v],C00315
s_1442[c],C00750
s_1443[e],C00750
